user_id,gender,age,following_cnt,pay_count,parcel_post_count,transfer_count,chat_count,count,content_id
9190936,1,40,0,0,0,0,0,8,162188121
9190936,1,40,0,0,0,0,0,8,98939709
9190936,1,40,0,0,0,0,0,8,162188354
9190936,1,40,0,0,0,0,0,8,162194390
9190936,1,40,0,0,0,0,0,8,162521007
9190936,1,40,0,0,0,0,0,8,162523203
9190936,1,40,0,0,0,0,0,8,162521007
9190936,1,40,0,0,0,0,0,8,162769362
75602674,2,51,0,0,0,0,0,1,137011821
2701553,1,24,0,0,0,0,0,2,162337365
2701553,1,24,0,0,0,0,0,2,162337365
5209535,1,26,0,0,0,0,0,1,151932477
4909464,1,42,6,0,2,0,0,30,137118749
4909464,1,42,6,0,2,0,0,30,137118749
4909464,1,42,6,0,2,0,0,30,137118398
4909464,1,42,6,0,2,0,0,30,137118398
4909464,1,42,6,0,2,0,0,30,162708283
4909464,1,42,6,0,2,0,0,30,163135587
4909464,1,42,6,0,2,0,0,30,163137784
4909464,1,42,6,0,2,0,0,30,152628748
4909464,1,42,6,0,2,0,0,30,137119473
4909464,1,42,6,0,2,0,0,30,162806909
4909464,1,42,6,0,2,0,0,30,137118398
4909464,1,42,6,0,2,0,0,30,163149322
4909464,1,42,6,0,2,0,0,30,152628748
4909464,1,42,6,0,2,0,0,30,152628748
4909464,1,42,6,0,2,0,0,30,152628748
4909464,1,42,6,0,2,0,0,30,161754879
4909464,1,42,6,0,2,0,0,30,162534908
4909464,1,42,6,0,2,0,0,30,137119473
4909464,1,42,6,0,2,0,0,30,137118398
4909464,1,42,6,0,2,0,0,30,137118398
4909464,1,42,6,0,2,0,0,30,152826099
4909464,1,42,6,0,2,0,0,30,156423859
4909464,1,42,6,0,2,0,0,30,163059949
4909464,1,42,6,0,2,0,0,30,137119359
4909464,1,42,6,0,2,0,0,30,152628748
4909464,1,42,6,0,2,0,0,30,152625956
4909464,1,42,6,0,2,0,0,30,162188354
4909464,1,42,6,0,2,0,0,30,137119473
4909464,1,42,6,0,2,0,0,30,161384979
4909464,1,42,6,0,2,0,0,30,162534908
6795668,1,33,10,0,0,0,0,1,162806628
4812304,1,19,2,0,7,0,0,1,162523203
11520796,1,19,2,0,0,0,0,5,155158970
11520796,1,19,2,0,0,0,0,5,162711604
11520796,1,19,2,0,0,0,0,5,162711604
11520796,1,19,2,0,0,0,0,5,162820716
11520796,1,19,2,0,0,0,0,5,163151102
4243295,1,26,0,1,0,0,0,1,92483008
11049154,1,19,2,0,0,0,0,1,100010275
1983922,2,42,34,0,1,0,0,2,163082544
1983922,2,42,34,0,1,0,0,2,163051037
277584,1,32,0,0,0,1,1,18,162521007
277584,1,32,0,0,0,1,1,18,161575035
277584,1,32,0,0,0,1,1,18,162728740
277584,1,32,0,0,0,1,1,18,162903723
277584,1,32,0,0,0,1,1,18,163059949
277584,1,32,0,0,0,1,1,18,163145632
277584,1,32,0,0,0,1,1,18,163145632
277584,1,32,0,0,0,1,1,18,162551551
277584,1,32,0,0,0,1,1,18,162729496
277584,1,32,0,0,0,1,1,18,161579014
277584,1,32,0,0,0,1,1,18,161579014
277584,1,32,0,0,0,1,1,18,162725704
277584,1,32,0,0,0,1,1,18,162726504
277584,1,32,0,0,0,1,1,18,162726504
277584,1,32,0,0,0,1,1,18,162726504
277584,1,32,0,0,0,1,1,18,162725704
277584,1,32,0,0,0,1,1,18,162725704
277584,1,32,0,0,0,1,1,18,162725704
74552992,1,49,0,0,0,0,0,1,162194390
76681139,1,39,0,0,0,0,0,1,146485304
11424197,1,56,0,0,0,0,0,1,161015896
12068297,0,17,0,0,0,0,0,2,162520302
12068297,0,17,0,0,0,0,0,2,162521007
12035026,0,36,1,0,0,0,0,3,160318883
12035026,0,36,1,0,0,0,0,3,160318883
12035026,0,36,1,0,0,0,0,3,160318883
8020318,1,36,62,0,0,0,0,5,137118119
8020318,1,36,62,0,0,0,0,5,137118119
8020318,1,36,62,0,0,0,0,5,163243133
8020318,1,36,62,0,0,0,0,5,152626077
8020318,1,36,62,0,0,0,0,5,152626077
12521859,1,43,2,0,0,0,0,1,119974406
13033625,1,32,0,0,0,0,0,1,162521007
5703144,1,20,8,0,0,0,3,23,137119700
5703144,1,20,8,0,0,0,3,23,137119700
5703144,1,20,8,0,0,0,3,23,162188490
5703144,1,20,8,0,0,0,3,23,162194690
5703144,1,20,8,0,0,0,3,23,162770308
5703144,1,20,8,0,0,0,3,23,162188354
5703144,1,20,8,0,0,0,3,23,162188354
5703144,1,20,8,0,0,0,3,23,162521007
5703144,1,20,8,0,0,0,3,23,131022694
5703144,1,20,8,0,0,0,3,23,163230563
5703144,1,20,8,0,0,0,3,23,155158970
5703144,1,20,8,0,0,0,3,23,155158970
5703144,1,20,8,0,0,0,3,23,137119576
5703144,1,20,8,0,0,0,3,23,163243990
5703144,1,20,8,0,0,0,3,23,163059949
5703144,1,20,8,0,0,0,3,23,161295217
5703144,1,20,8,0,0,0,3,23,156423859
5703144,1,20,8,0,0,0,3,23,163059849
5703144,1,20,8,0,0,0,3,23,158633494
5703144,1,20,8,0,0,0,3,23,162770308
5703144,1,20,8,0,0,0,3,23,162353115
5703144,1,20,8,0,0,0,3,23,162541075
5703144,1,20,8,0,0,0,3,23,137119576
76903368,1,25,0,0,0,0,0,6,161754879
76903368,1,25,0,0,0,0,0,6,162520302
76903368,1,25,0,0,0,0,0,6,161587162
76903368,1,25,0,0,0,0,0,6,162521007
76903368,1,25,0,0,0,0,0,6,162523203
76903368,1,25,0,0,0,0,0,6,161577494
2638731,1,28,52,2,0,0,15,1,138232512
74717341,1,41,0,0,0,0,0,1,162988226
1190445,1,28,16,0,0,1,1,1,162523203
76263542,1,25,1,0,0,0,0,2,162188490
76263542,1,25,1,0,0,0,0,2,162523203
8869676,0,0,0,0,0,0,0,1,162738459
6963702,1,29,3,0,0,0,0,2,162634264
6963702,1,29,3,0,0,0,0,2,162634264
10310853,1,24,0,0,0,0,0,1,161783213
77322331,2,21,0,0,0,0,0,3,162726725
77322331,2,21,0,0,0,0,0,3,162524627
77322331,2,21,0,0,0,0,0,3,162523203
74280651,2,64,0,0,0,0,0,5,162195065
74280651,2,64,0,0,0,0,0,5,137118198
74280651,2,64,0,0,0,0,0,5,162523203
74280651,2,64,0,0,0,0,0,5,149152076
74280651,2,64,0,0,0,0,0,5,162854922
13133958,1,45,0,0,0,0,0,2,55080864
13133958,1,45,0,0,0,0,0,2,141634775
3059433,1,20,47,0,0,0,0,1,162194051
75094774,2,54,0,0,0,0,0,4,163129687
