product_id,title,keyword,cat1,cat2,cat3,view,image
173880948,아이패드 프로 11인치 셀룰러 256+정품 키보드 & 애플펜슬,"아이폰,아이패드,갤럭시탭,갤럭시,애플",디지털/가전,모바일,태블릿,61,https://media.bunjang.co.kr/product/173880948_{cnt}_1640243614_w{res}.jpg
173952939,아이패드프로3세대 12.9인치 + 애플펜슬2세대 + 스마트키보드,"아이패드프로,아이패드프로3세대12.9,애플펜슬2세대",디지털/가전,모바일,태블릿,24,https://media.bunjang.co.kr/product/173952939_{cnt}_1640243311_w{res}.jpg
169845448,쿨러마스터 MASTERKEY PRO L (적축) 팝니다.,"쿨러마스터,키보드,기계식키보드,적축,MASTERKEY",디지털/가전,PC/노트북,PC주변기기(키보드/마우스),192,https://media.bunjang.co.kr/product/169845448_{cnt}_1636832731_w{res}.jpg
173846132,키보드 팝니다.,"키보드,롱패딩,컴퓨터",디지털/가전,PC/노트북,PC주변기기(키보드/마우스),41,https://media.bunjang.co.kr/product/173846132_{cnt}_1640154023_w{res}.jpg
173951896,azio 아지오 MK retro 레트로키보드 청축,"기계식키보드,청축키보드,azio,레트로키보드,키보드",디지털/가전,PC/노트북,PC주변기기(키보드/마우스),38,https://media.bunjang.co.kr/product/173951896_{cnt}_1640242693_w{res}.jpg
173951160,기계식 키보드 CK87,"콕스,엡코,기계식,키보드",디지털/가전,PC/노트북,PC주변기기(키보드/마우스),80,https://media.bunjang.co.kr/product/173951160_{cnt}_1640242273_w{res}.jpg
173311844,(새상품급)갤럭시탭s7플러스 정품 북커버 키보드케이스,"갤럭시탭s7플러스,키보드케이스,탭s7+키보드케이,갤럭시탭s7키보드",디지털/가전,모바일,태블릿,299,https://media.bunjang.co.kr/product/173311844_{cnt}_1640221920_w{res}.jpg
173840340,(미개봉) 로지텍 k380 블루투스 키보드,"로지텍,로지텍k380,블루투스키보드,로지텍키보드마우스",디지털/가전,PC/노트북,PC주변기기(키보드/마우스),66,https://media.bunjang.co.kr/product/173840340_{cnt}_1640150597_w{res}.jpg
173608441,로지텍 k380 키보드 팝니다 ,"블루투스,로지텍,키보드,무선키보드",디지털/가전,PC/노트북,PC주변기기(키보드/마우스),47,https://media.bunjang.co.kr/product/173608441_{cnt}_1639966871_w{res}.jpg
173537542,갤럭시탭 키보드케이스,,디지털/가전,모바일,케이스/보호필름/액세서리,38,https://media.bunjang.co.kr/product/173537542_{cnt}_1639904477_w{res}.jpg
173944086,해커 k5150 게이밍 키보드 급처분합니다,"키보드,게이밍",디지털/가전,PC/노트북,PC주변기기(키보드/마우스),16,https://media.bunjang.co.kr/product/173944086_{cnt}_1640237747_w{res}.jpg
173812476,사당 미디키보드 미디건반 m audio keyrig 49,"미디키보드,사당,maudii,49건반",음반/악기,악기,기타(음반/악기),43,https://media.bunjang.co.kr/product/173812476_{cnt}_1640122196_w{res}.jpg
173922433,exclusive 65 커스텀 키보드 판매,"커스텀키보드,기계식키보드,틸리오스,급처,키보드",디지털/가전,PC/노트북,PC주변기기(키보드/마우스),39,https://media.bunjang.co.kr/product/173922433_{cnt}_1640236772_w{res}.jpg
173940973,azio 아지오 앱코 레트로키보드 엘우드,"아지오,키보드,기계식키보드,카일스위치,레트로키보드",디지털/가전,PC/노트북,PC주변기기(키보드/마우스),36,https://media.bunjang.co.kr/product/173940973_{cnt}_1640235772_w{res}.jpg
173940566,제닉스 토소로 기계식 키보드 TS-G1NL,기계식키보드,디지털/가전,PC/노트북,PC주변기기(키보드/마우스),2,https://media.bunjang.co.kr/product/173940566_{cnt}_1640235517_w{res}.jpg
